Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5804591888338222,0.5268054672142483,0.5804591888338222,0.5208987492472482
Random Forest,0.5466774552442601,0.4954918411226651,0.5466774552442601,0.4716818358126492
