Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.593203196116112,0.5589472847768773,0.593203196116112,0.5127759858799189
Random Forest,0.5769191868109639,0.5271018436939198,0.5769191868109639,0.5097913904477288
