Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5729746131283504,0.5213630177582042,0.5729746131283504,0.5095707115286602
Random Forest,0.5084454333973906,0.47092394048279956,0.5084454333973906,0.47839772397975233
