Model,Accuracy,Precision,Recall,F1 Score
XGBoost,0.5918883382219076,0.5374787853335256,0.5918883382219076,0.5217817850265464
LightGBM,0.59168605239203,0.5368320402460507,0.59168605239203,0.5236132981440521
